mes,borough,payment_method,fare_class_category,ridership
2020-12,Bronx,metrocard,Metrocard - Other,300937
2020-12,Bronx,metrocard,Metrocard - Seniors & Disability,161452
2020-12,Bronx,metrocard,Metrocard - Students,75235
2020-12,Bronx,metrocard,Metrocard - Unlimited 30-Day,566494
2020-12,Bronx,metrocard,Metrocard - Unlimited 7-Day,1104013
2020-12,Bronx,omny,OMNY - Full Fare,456815
2020-12,Brooklyn,metrocard,Metrocard - Fair Fare,451419
2020-12,Brooklyn,metrocard,Metrocard - Full Fare,5090333
2020-12,Brooklyn,metrocard,Metrocard - Other,662154
2020-12,Brooklyn,metrocard,Metrocard - Seniors & Disability,439922
2020-12,Brooklyn,metrocard,Metrocard - Students,173421
2020-12,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1498527
2020-12,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1809204
2020-12,Brooklyn,omny,OMNY - Full Fare,935529
2020-12,Manhattan,metrocard,Metrocard - Fair Fare,650389
2020-12,Manhattan,metrocard,Metrocard - Full Fare,8899762
2020-12,Manhattan,metrocard,Metrocard - Other,1212795
2020-12,Manhattan,metrocard,Metrocard - Seniors & Disability,815232
2020-12,Manhattan,metrocard,Metrocard - Students,191235
2020-12,Manhattan,metrocard,Metrocard - Unlimited 30-Day,2646982
2020-12,Manhattan,metrocard,Metrocard - Unlimited 7-Day,2912842
2020-12,Manhattan,omny,OMNY - Full Fare,2684214
2020-12,Queens,metrocard,Metrocard - Fair Fare,219104
2020-12,Queens,metrocard,Metrocard - Full Fare,3622074
2020-12,Queens,metrocard,Metrocard - Other,401634
2020-12,Queens,metrocard,Metrocard - Seniors & Disability,301692
2020-12,Queens,metrocard,Metrocard - Students,104731
2020-12,Queens,metrocard,Metrocard - Unlimited 30-Day,1058885
2020-12,Queens,metrocard,Metrocard - Unlimited 7-Day,1475425
2020-12,Queens,omny,OMNY - Full Fare,595543
2020-12,Staten Island,metrocard,Metrocard - Fair Fare,1953
2020-12,Staten Island,metrocard,Metrocard - Full Fare,42816
2020-12,Staten Island,metrocard,Metrocard - Other,9899
2020-12,Staten Island,metrocard,Metrocard - Seniors & Disability,3747
2020-12,Staten Island,metrocard,Metrocard - Students,619
2020-12,Staten Island,metrocard,Metrocard - Unlimited 30-Day,6535
2020-12,Staten Island,metrocard,Metrocard - Unlimited 7-Day,7187
2020-12,Staten Island,omny,OMNY - Full Fare,5674
2021-01,Bronx,metrocard,Metrocard - Fair Fare,281866
2021-01,Bronx,metrocard,Metrocard - Full Fare,1896811
2021-01,Bronx,metrocard,Metrocard - Other,274511
2021-01,Bronx,metrocard,Metrocard - Seniors & Disability,153927
2021-01,Bronx,metrocard,Metrocard - Students,66591
2021-01,Bronx,metrocard,Metrocard - Unlimited 30-Day,542819
2021-01,Bronx,metrocard,Metrocard - Unlimited 7-Day,1057085
2021-01,Bronx,omny,OMNY - Full Fare,471066
2021-01,Brooklyn,metrocard,Metrocard - Fair Fare,424442
2021-01,Brooklyn,metrocard,Metrocard - Full Fare,4617291
2021-01,Brooklyn,metrocard,Metrocard - Other,619450
2021-01,Brooklyn,metrocard,Metrocard - Seniors & Disability,409603
2021-01,Brooklyn,metrocard,Metrocard - Students,160018
2021-01,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1471495
2021-01,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1727818
2021-01,Brooklyn,omny,OMNY - Full Fare,1125256
2021-01,Manhattan,metrocard,Metrocard - Fair Fare,600408
2021-01,Manhattan,metrocard,Metrocard - Full Fare,7987273
2021-01,Manhattan,metrocard,Metrocard - Other,1138810
2021-01,Manhattan,metrocard,Metrocard - Seniors & Disability,754913
2021-01,Manhattan,metrocard,Metrocard - Students,174939
2021-01,Manhattan,metrocard,Metrocard - Unlimited 30-Day,2627359
2021-01,Manhattan,metrocard,Metrocard - Unlimited 7-Day,2642133
2021-01,Manhattan,omny,OMNY - Full Fare,2797403
2021-01,Queens,metrocard,Metrocard - Fair Fare,205837
2021-01,Queens,metrocard,Metrocard - Full Fare,3291352
2021-01,Queens,metrocard,Metrocard - Other,374216
2021-01,Queens,metrocard,Metrocard - Seniors & Disability,282969
2021-01,Queens,metrocard,Metrocard - Students,91289
2021-01,Queens,metrocard,Metrocard - Unlimited 30-Day,1041958
2021-01,Queens,metrocard,Metrocard - Unlimited 7-Day,1412204
2021-01,Queens,omny,OMNY - Full Fare,640523
2021-01,Staten Island,metrocard,Metrocard - Fair Fare,2036
2021-01,Staten Island,metrocard,Metrocard - Full Fare,42369
2021-01,Staten Island,metrocard,Metrocard - Other,9130
2021-01,Staten Island,metrocard,Metrocard - Seniors & Disability,3695
2021-01,Staten Island,metrocard,Metrocard - Students,646
2021-01,Staten Island,metrocard,Metrocard - Unlimited 30-Day,6686
2021-01,Staten Island,metrocard,Metrocard - Unlimited 7-Day,7146
2021-01,Staten Island,omny,OMNY - Full Fare,5735
2021-02,Bronx,metrocard,Metrocard - Fair Fare,271338
2021-02,Bronx,metrocard,Metrocard - Full Fare,1791317
2021-02,Bronx,metrocard,Metrocard - Other,259814
2021-02,Bronx,metrocard,Metrocard - Seniors & Disability,143216
2021-02,Bronx,metrocard,Metrocard - Students,18254
2021-02,Bronx,metrocard,Metrocard - Unlimited 30-Day,503013
2021-02,Bronx,metrocard,Metrocard - Unlimited 7-Day,956820
2021-02,Bronx,omny,OMNY - Full Fare,496354
2021-02,Brooklyn,metrocard,Metrocard - Fair Fare,409942
2021-02,Brooklyn,metrocard,Metrocard - Full Fare,4418427
2021-02,Brooklyn,metrocard,Metrocard - Other,588630
2021-02,Brooklyn,metrocard,Metrocard - Seniors & Disability,387739
2021-02,Brooklyn,metrocard,Metrocard - Students,69136
2021-02,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1367501
2021-02,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1556472
2021-02,Brooklyn,omny,OMNY - Full Fare,1300603
2021-02,Manhattan,metrocard,Metrocard - Fair Fare,580985
2021-02,Manhattan,metrocard,Metrocard - Full Fare,7543097
2021-02,Manhattan,metrocard,Metrocard - Other,1073209
2021-02,Manhattan,metrocard,Metrocard - Seniors & Disability,722747
2021-02,Manhattan,metrocard,Metrocard - Students,85960
2021-02,Manhattan,metrocard,Metrocard - Unlimited 30-Day,2480933
2021-02,Manhattan,metrocard,Metrocard - Unlimited 7-Day,2404268
2021-02,Manhattan,omny,OMNY - Full Fare,3026044
2021-02,Queens,metrocard,Metrocard - Fair Fare,197206
2021-02,Queens,metrocard,Metrocard - Full Fare,3106805
2021-02,Queens,metrocard,Metrocard - Other,362705
2021-02,Queens,metrocard,Metrocard - Seniors & Disability,267140
2021-02,Queens,metrocard,Metrocard - Students,32159
2021-02,Queens,metrocard,Metrocard - Unlimited 30-Day,970194
2021-02,Queens,metrocard,Metrocard - Unlimited 7-Day,1275845
2021-02,Queens,omny,OMNY - Full Fare,726983
2021-02,Staten Island,metrocard,Metrocard - Fair Fare,1914
2021-02,Staten Island,metrocard,Metrocard - Full Fare,39838
2021-02,Staten Island,metrocard,Metrocard - Other,8777
2021-02,Staten Island,metrocard,Metrocard - Seniors & Disability,3432
2021-02,Staten Island,metrocard,Metrocard - Students,409
2021-02,Staten Island,metrocard,Metrocard - Unlimited 30-Day,5666
2021-02,Staten Island,metrocard,Metrocard - Unlimited 7-Day,6280
2021-02,Staten Island,omny,OMNY - Full Fare,6297
2021-03,Bronx,metrocard,Metrocard - Fair Fare,343539
2021-03,Bronx,metrocard,Metrocard - Full Fare,2192064
2021-03,Bronx,metrocard,Metrocard - Other,352153
2021-03,Bronx,metrocard,Metrocard - Seniors & Disability,189835
2021-03,Bronx,metrocard,Metrocard - Students,67727
2021-03,Bronx,metrocard,Metrocard - Unlimited 30-Day,636261
2021-03,Bronx,metrocard,Metrocard - Unlimited 7-Day,1234185
2021-03,Bronx,omny,OMNY - Full Fare,663357
2021-03,Brooklyn,metrocard,Metrocard - Fair Fare,513918
2021-03,Brooklyn,metrocard,Metrocard - Full Fare,5355794
2021-03,Brooklyn,metrocard,Metrocard - Other,759382
2021-03,Brooklyn,metrocard,Metrocard - Seniors & Disability,522000
2021-03,Brooklyn,metrocard,Metrocard - Students,174788
2021-03,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1758348
2021-03,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2004949
2021-03,Brooklyn,omny,OMNY - Full Fare,1817455
2021-03,Manhattan,metrocard,Metrocard - Fair Fare,738232
2021-03,Manhattan,metrocard,Metrocard - Full Fare,9649619
2021-03,Manhattan,metrocard,Metrocard - Other,1396813
2021-03,Manhattan,metrocard,Metrocard - Seniors & Disability,993621
2021-03,Manhattan,metrocard,Metrocard - Students,208465
2021-03,Manhattan,metrocard,Metrocard - Unlimited 30-Day,3195616
2021-03,Manhattan,metrocard,Metrocard - Unlimited 7-Day,3183609
2021-03,Manhattan,omny,OMNY - Full Fare,4234751
2021-03,Queens,metrocard,Metrocard - Fair Fare,248430
2021-03,Queens,metrocard,Metrocard - Full Fare,3765205
2021-03,Queens,metrocard,Metrocard - Other,463834
2021-03,Queens,metrocard,Metrocard - Seniors & Disability,363581
2021-03,Queens,metrocard,Metrocard - Students,93858
2021-03,Queens,metrocard,Metrocard - Unlimited 30-Day,1242349
2021-03,Queens,metrocard,Metrocard - Unlimited 7-Day,1655043
2021-03,Queens,omny,OMNY - Full Fare,1020658
2021-03,Staten Island,metrocard,Metrocard - Fair Fare,2244
2021-03,Staten Island,metrocard,Metrocard - Full Fare,47285
2021-03,Staten Island,metrocard,Metrocard - Other,9648
2021-03,Staten Island,metrocard,Metrocard - Seniors & Disability,4236
2021-03,Staten Island,metrocard,Metrocard - Students,1093
2021-03,Staten Island,metrocard,Metrocard - Unlimited 30-Day,6938
2021-03,Staten Island,metrocard,Metrocard - Unlimited 7-Day,7290
2021-03,Staten Island,omny,OMNY - Full Fare,7795
2021-04,Bronx,metrocard,Metrocard - Fair Fare,344990
2021-04,Bronx,metrocard,Metrocard - Full Fare,2171008
2021-04,Bronx,metrocard,Metrocard - Other,346176
2021-04,Bronx,metrocard,Metrocard - Seniors & Disability,197091
2021-04,Bronx,metrocard,Metrocard - Students,138998
2021-04,Bronx,metrocard,Metrocard - Unlimited 30-Day,651130
2021-04,Bronx,metrocard,Metrocard - Unlimited 7-Day,1231726
2021-04,Bronx,omny,OMNY - Full Fare,718124
2021-04,Brooklyn,metrocard,Metrocard - Fair Fare,520460
2021-04,Brooklyn,metrocard,Metrocard - Full Fare,5357680
2021-04,Brooklyn,metrocard,Metrocard - Other,763239
2021-04,Brooklyn,metrocard,Metrocard - Seniors & Disability,540216
2021-04,Brooklyn,metrocard,Metrocard - Students,313422
2021-04,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1798031
2021-04,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2008745
2021-04,Brooklyn,omny,OMNY - Full Fare,2139073
2021-04,Manhattan,metrocard,Metrocard - Fair Fare,755983
2021-04,Manhattan,metrocard,Metrocard - Full Fare,9976806
2021-04,Manhattan,metrocard,Metrocard - Other,1415065
2021-04,Manhattan,metrocard,Metrocard - Seniors & Disability,1054278
2021-04,Manhattan,metrocard,Metrocard - Students,351759
2021-04,Manhattan,metrocard,Metrocard - Unlimited 30-Day,3315624
2021-04,Manhattan,metrocard,Metrocard - Unlimited 7-Day,3318797
2021-04,Manhattan,omny,OMNY - Full Fare,4960690
2021-04,Queens,metrocard,Metrocard - Fair Fare,253159
2021-04,Queens,metrocard,Metrocard - Full Fare,3707972
2021-04,Queens,metrocard,Metrocard - Other,471438
2021-04,Queens,metrocard,Metrocard - Seniors & Disability,371223
2021-04,Queens,metrocard,Metrocard - Students,171759
2021-04,Queens,metrocard,Metrocard - Unlimited 30-Day,1277128
2021-04,Queens,metrocard,Metrocard - Unlimited 7-Day,1681753
2021-04,Queens,omny,OMNY - Full Fare,1157076
2021-04,Staten Island,metrocard,Metrocard - Fair Fare,2539
2021-04,Staten Island,metrocard,Metrocard - Full Fare,49599
2021-04,Staten Island,metrocard,Metrocard - Other,10290
2021-04,Staten Island,metrocard,Metrocard - Seniors & Disability,4559
2021-04,Staten Island,metrocard,Metrocard - Students,1800
2021-04,Staten Island,metrocard,Metrocard - Unlimited 30-Day,7522
2021-04,Staten Island,metrocard,Metrocard - Unlimited 7-Day,7834
2021-04,Staten Island,omny,OMNY - Full Fare,9135
2021-05,Bronx,metrocard,Metrocard - Fair Fare,356347
2021-05,Bronx,metrocard,Metrocard - Full Fare,2175197
2021-05,Bronx,metrocard,Metrocard - Other,326217
2021-05,Bronx,metrocard,Metrocard - Seniors & Disability,200944
2021-05,Bronx,metrocard,Metrocard - Students,167975
2021-05,Bronx,metrocard,Metrocard - Unlimited 30-Day,670417
2021-05,Bronx,metrocard,Metrocard - Unlimited 7-Day,1293825
2021-05,Bronx,omny,OMNY - Full Fare,820265
2021-05,Brooklyn,metrocard,Metrocard - Fair Fare,540758
2021-05,Brooklyn,metrocard,Metrocard - Full Fare,5621314
2021-05,Brooklyn,metrocard,Metrocard - Other,776969
2021-05,Brooklyn,metrocard,Metrocard - Seniors & Disability,570896
2021-05,Brooklyn,metrocard,Metrocard - Students,372336
2021-05,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1904002
2021-05,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2150813
2021-05,Brooklyn,omny,OMNY - Full Fare,2620203
2021-05,Manhattan,metrocard,Metrocard - Fair Fare,787940
2021-05,Manhattan,metrocard,Metrocard - Full Fare,11005559
2021-05,Manhattan,metrocard,Metrocard - Other,1472811
2021-05,Manhattan,metrocard,Metrocard - Seniors & Disability,1138490
2021-05,Manhattan,metrocard,Metrocard - Students,437628
2021-05,Manhattan,metrocard,Metrocard - Unlimited 30-Day,3529190
2021-05,Manhattan,metrocard,Metrocard - Unlimited 7-Day,3822620
2021-05,Manhattan,omny,OMNY - Full Fare,6179115
2021-05,Queens,metrocard,Metrocard - Fair Fare,265657
2021-05,Queens,metrocard,Metrocard - Full Fare,3843488
2021-05,Queens,metrocard,Metrocard - Other,469245
2021-05,Queens,metrocard,Metrocard - Seniors & Disability,392125
2021-05,Queens,metrocard,Metrocard - Students,203365
2021-05,Queens,metrocard,Metrocard - Unlimited 30-Day,1352822
2021-05,Queens,metrocard,Metrocard - Unlimited 7-Day,1805277
2021-05,Queens,omny,OMNY - Full Fare,1371550
2021-05,Staten Island,metrocard,Metrocard - Fair Fare,2431
2021-05,Staten Island,metrocard,Metrocard - Full Fare,51734
2021-05,Staten Island,metrocard,Metrocard - Other,10087
2021-05,Staten Island,metrocard,Metrocard - Seniors & Disability,5076
2021-05,Staten Island,metrocard,Metrocard - Students,2172
2021-05,Staten Island,metrocard,Metrocard - Unlimited 30-Day,7690
2021-05,Staten Island,metrocard,Metrocard - Unlimited 7-Day,8125
2021-05,Staten Island,omny,OMNY - Full Fare,10306
2021-06,Bronx,metrocard,Metrocard - Fair Fare,362518
2021-06,Bronx,metrocard,Metrocard - Full Fare,2240537
2021-06,Bronx,metrocard,Metrocard - Other,338129
2021-06,Bronx,metrocard,Metrocard - Seniors & Disability,209889
2021-06,Bronx,metrocard,Metrocard - Students,157697
2021-06,Bronx,metrocard,Metrocard - Unlimited 30-Day,689045
2021-06,Bronx,metrocard,Metrocard - Unlimited 7-Day,1320285
2021-06,Bronx,omny,OMNY - Full Fare,931143
2021-06,Brooklyn,metrocard,Metrocard - Fair Fare,562288
2021-06,Brooklyn,metrocard,Metrocard - Full Fare,6016674
2021-06,Brooklyn,metrocard,Metrocard - Other,810065
2021-06,Brooklyn,metrocard,Metrocard - Seniors & Disability,612667
2021-06,Brooklyn,metrocard,Metrocard - Students,346205
2021-06,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2037607
2021-06,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2285396
2021-06,Brooklyn,omny,OMNY - Full Fare,3163794
2021-06,Manhattan,metrocard,Metrocard - Fair Fare,836764
2021-06,Manhattan,metrocard,Metrocard - Full Fare,12796921
2021-06,Manhattan,metrocard,Metrocard - Other,1626327
2021-06,Manhattan,metrocard,Metrocard - Seniors & Disability,1261127
2021-06,Manhattan,metrocard,Metrocard - Students,408889
2021-06,Manhattan,metrocard,Metrocard - Unlimited 30-Day,3961898
2021-06,Manhattan,metrocard,Metrocard - Unlimited 7-Day,4415514
2021-06,Manhattan,omny,OMNY - Full Fare,7754789
2021-06,Queens,metrocard,Metrocard - Fair Fare,277289
2021-06,Queens,metrocard,Metrocard - Full Fare,4134052
2021-06,Queens,metrocard,Metrocard - Other,495081
2021-06,Queens,metrocard,Metrocard - Seniors & Disability,422967
2021-06,Queens,metrocard,Metrocard - Students,201195
2021-06,Queens,metrocard,Metrocard - Unlimited 30-Day,1448282
2021-06,Queens,metrocard,Metrocard - Unlimited 7-Day,1896755
2021-06,Queens,omny,OMNY - Full Fare,1636486
2021-06,Staten Island,metrocard,Metrocard - Fair Fare,2673
2021-06,Staten Island,metrocard,Metrocard - Full Fare,60782
2021-06,Staten Island,metrocard,Metrocard - Other,11287
2021-06,Staten Island,metrocard,Metrocard - Seniors & Disability,5608
2021-06,Staten Island,metrocard,Metrocard - Students,1624
2021-06,Staten Island,metrocard,Metrocard - Unlimited 30-Day,8382
2021-06,Staten Island,metrocard,Metrocard - Unlimited 7-Day,9033
2021-06,Staten Island,omny,OMNY - Full Fare,12777
2021-07,Bronx,metrocard,Metrocard - Fair Fare,348198
2021-07,Bronx,metrocard,Metrocard - Full Fare,2170359
2021-07,Bronx,metrocard,Metrocard - Other,333648
2021-07,Bronx,metrocard,Metrocard - Seniors & Disability,204132
2021-07,Bronx,metrocard,Metrocard - Students,60988
2021-07,Bronx,metrocard,Metrocard - Unlimited 30-Day,681712
2021-07,Bronx,metrocard,Metrocard - Unlimited 7-Day,1293291
2021-07,Bronx,omny,OMNY - Full Fare,971108
2021-07,Brooklyn,metrocard,Metrocard - Fair Fare,557506
2021-07,Brooklyn,metrocard,Metrocard - Full Fare,5900033
2021-07,Brooklyn,metrocard,Metrocard - Other,803970
2021-07,Brooklyn,metrocard,Metrocard - Seniors & Disability,615555
2021-07,Brooklyn,metrocard,Metrocard - Students,121749
2021-07,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2113559
2021-07,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2304326
2021-07,Brooklyn,omny,OMNY - Full Fare,3504028
2021-07,Manhattan,metrocard,Metrocard - Fair Fare,823883
2021-07,Manhattan,metrocard,Metrocard - Full Fare,13060393
2021-07,Manhattan,metrocard,Metrocard - Other,1631195
2021-07,Manhattan,metrocard,Metrocard - Seniors & Disability,1246212
2021-07,Manhattan,metrocard,Metrocard - Students,88456
2021-07,Manhattan,metrocard,Metrocard - Unlimited 30-Day,4137322
2021-07,Manhattan,metrocard,Metrocard - Unlimited 7-Day,4721617
2021-07,Manhattan,omny,OMNY - Full Fare,8659068
2021-07,Queens,metrocard,Metrocard - Fair Fare,279874
2021-07,Queens,metrocard,Metrocard - Full Fare,4178302
2021-07,Queens,metrocard,Metrocard - Other,497436
2021-07,Queens,metrocard,Metrocard - Seniors & Disability,433243
2021-07,Queens,metrocard,Metrocard - Students,71342
2021-07,Queens,metrocard,Metrocard - Unlimited 30-Day,1513792
2021-07,Queens,metrocard,Metrocard - Unlimited 7-Day,1970321
2021-07,Queens,omny,OMNY - Full Fare,1835686
2021-07,Staten Island,metrocard,Metrocard - Fair Fare,2881
2021-07,Staten Island,metrocard,Metrocard - Full Fare,63563
2021-07,Staten Island,metrocard,Metrocard - Other,11479
2021-07,Staten Island,metrocard,Metrocard - Seniors & Disability,5909
2021-07,Staten Island,metrocard,Metrocard - Students,489
2021-07,Staten Island,metrocard,Metrocard - Unlimited 30-Day,9248
2021-07,Staten Island,metrocard,Metrocard - Unlimited 7-Day,8881
2021-07,Staten Island,omny,OMNY - Full Fare,14980
2021-08,Bronx,metrocard,Metrocard - Fair Fare,358386
2021-08,Bronx,metrocard,Metrocard - Full Fare,2152822
2021-08,Bronx,metrocard,Metrocard - Other,340914
2021-08,Bronx,metrocard,Metrocard - Seniors & Disability,208023
2021-08,Bronx,metrocard,Metrocard - Students,71709
2021-08,Bronx,metrocard,Metrocard - Unlimited 30-Day,685103
2021-08,Bronx,metrocard,Metrocard - Unlimited 7-Day,1321002
2021-08,Bronx,omny,OMNY - Full Fare,1017596
2021-08,Brooklyn,metrocard,Metrocard - Fair Fare,562184
2021-08,Brooklyn,metrocard,Metrocard - Full Fare,5619680
2021-08,Brooklyn,metrocard,Metrocard - Other,800244
2021-08,Brooklyn,metrocard,Metrocard - Seniors & Disability,613065
2021-08,Brooklyn,metrocard,Metrocard - Students,130540
2021-08,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2125250
2021-08,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2314494
2021-08,Brooklyn,omny,OMNY - Full Fare,3573246
2021-08,Manhattan,metrocard,Metrocard - Fair Fare,844022
2021-08,Manhattan,metrocard,Metrocard - Full Fare,12370361
2021-08,Manhattan,metrocard,Metrocard - Other,1605938
2021-08,Manhattan,metrocard,Metrocard - Seniors & Disability,1229497
2021-08,Manhattan,metrocard,Metrocard - Students,139718
2021-08,Manhattan,metrocard,Metrocard - Unlimited 30-Day,4211872
2021-08,Manhattan,metrocard,Metrocard - Unlimited 7-Day,4605207
2021-08,Manhattan,omny,OMNY - Full Fare,8844478
2021-08,Queens,metrocard,Metrocard - Fair Fare,283294
2021-08,Queens,metrocard,Metrocard - Full Fare,4079652
2021-08,Queens,metrocard,Metrocard - Other,496964
2021-08,Queens,metrocard,Metrocard - Seniors & Disability,436708
2021-08,Queens,metrocard,Metrocard - Students,70152
2021-08,Queens,metrocard,Metrocard - Unlimited 30-Day,1534160
2021-08,Queens,metrocard,Metrocard - Unlimited 7-Day,2002214
2021-08,Queens,omny,OMNY - Full Fare,1942407
2021-08,Staten Island,metrocard,Metrocard - Fair Fare,2991
2021-08,Staten Island,metrocard,Metrocard - Full Fare,63822
2021-08,Staten Island,metrocard,Metrocard - Other,11691
2021-08,Staten Island,metrocard,Metrocard - Seniors & Disability,6083
2021-08,Staten Island,metrocard,Metrocard - Students,550
2021-08,Staten Island,metrocard,Metrocard - Unlimited 30-Day,9539
2021-08,Staten Island,metrocard,Metrocard - Unlimited 7-Day,8685
2021-08,Staten Island,omny,OMNY - Full Fare,15760
2021-09,Bronx,metrocard,Metrocard - Fair Fare,374519
2021-09,Bronx,metrocard,Metrocard - Full Fare,2145705
2021-09,Bronx,metrocard,Metrocard - Other,368313
2021-09,Bronx,metrocard,Metrocard - Seniors & Disability,211448
2021-09,Bronx,metrocard,Metrocard - Students,434720
2021-09,Bronx,metrocard,Metrocard - Unlimited 30-Day,732155
2021-09,Bronx,metrocard,Metrocard - Unlimited 7-Day,1303089
2021-09,Bronx,omny,OMNY - Full Fare,1029332
2021-09,Brooklyn,metrocard,Metrocard - Fair Fare,587187
2021-09,Brooklyn,metrocard,Metrocard - Full Fare,5796064
2021-09,Brooklyn,metrocard,Metrocard - Other,861867
2021-09,Brooklyn,metrocard,Metrocard - Seniors & Disability,641959
2021-09,Brooklyn,metrocard,Metrocard - Students,973391
2021-09,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2409416
2021-09,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2289624
2021-09,Brooklyn,omny,OMNY - Full Fare,3952983
2021-09,Brooklyn,omny,OMNY - Seniors & Disability,5
2021-09,Manhattan,metrocard,Metrocard - Fair Fare,900593
2021-09,Manhattan,metrocard,Metrocard - Full Fare,13041771
2021-09,Manhattan,metrocard,Metrocard - Other,1778857
2021-09,Manhattan,metrocard,Metrocard - Seniors & Disability,1357575
2021-09,Manhattan,metrocard,Metrocard - Students,1027787
2021-09,Manhattan,metrocard,Metrocard - Unlimited 30-Day,5023576
2021-09,Manhattan,metrocard,Metrocard - Unlimited 7-Day,4625819
2021-09,Manhattan,omny,OMNY - Full Fare,10347662
2021-09,Manhattan,omny,OMNY - Other,64
2021-09,Manhattan,omny,OMNY - Seniors & Disability,54
2021-09,Queens,metrocard,Metrocard - Fair Fare,292978
2021-09,Queens,metrocard,Metrocard - Full Fare,4197115
2021-09,Queens,metrocard,Metrocard - Other,538728
2021-09,Queens,metrocard,Metrocard - Seniors & Disability,455079
2021-09,Queens,metrocard,Metrocard - Students,548118
2021-09,Queens,metrocard,Metrocard - Unlimited 30-Day,1669724
2021-09,Queens,metrocard,Metrocard - Unlimited 7-Day,1990728
2021-09,Queens,omny,OMNY - Full Fare,2190860
2021-09,Staten Island,metrocard,Metrocard - Fair Fare,3735
2021-09,Staten Island,metrocard,Metrocard - Full Fare,75843
2021-09,Staten Island,metrocard,Metrocard - Other,13763
2021-09,Staten Island,metrocard,Metrocard - Seniors & Disability,7404
2021-09,Staten Island,metrocard,Metrocard - Students,7772
2021-09,Staten Island,metrocard,Metrocard - Unlimited 30-Day,11477
2021-09,Staten Island,metrocard,Metrocard - Unlimited 7-Day,9698
2021-09,Staten Island,omny,OMNY - Full Fare,20579
2021-10,Bronx,metrocard,Metrocard - Fair Fare,416155
2021-10,Bronx,metrocard,Metrocard - Full Fare,2192615
2021-10,Bronx,metrocard,Metrocard - Other,408092
2021-10,Bronx,metrocard,Metrocard - Seniors & Disability,225475
2021-10,Bronx,metrocard,Metrocard - Students,763445
2021-10,Bronx,metrocard,Metrocard - Unlimited 30-Day,833609
2021-10,Bronx,metrocard,Metrocard - Unlimited 7-Day,1418892
2021-10,Bronx,omny,OMNY - Full Fare,1108696
2021-10,Bronx,omny,OMNY - Seniors & Disability,25
2021-10,Brooklyn,metrocard,Metrocard - Fair Fare,649475
2021-10,Brooklyn,metrocard,Metrocard - Full Fare,5978603
2021-10,Brooklyn,metrocard,Metrocard - Other,974242
2021-10,Brooklyn,metrocard,Metrocard - Seniors & Disability,702413
2021-10,Brooklyn,metrocard,Metrocard - Students,1682394
2021-10,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2795664
2021-10,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2527391
2021-10,Brooklyn,omny,OMNY - Full Fare,4588317
2021-10,Brooklyn,omny,OMNY - Other,1
2021-10,Brooklyn,omny,OMNY - Seniors & Disability,126
2021-10,Manhattan,metrocard,Metrocard - Fair Fare,1009187
2021-10,Manhattan,metrocard,Metrocard - Full Fare,13868859
2021-10,Manhattan,metrocard,Metrocard - Other,2033029
2021-10,Manhattan,metrocard,Metrocard - Seniors & Disability,1553239
2021-10,Manhattan,metrocard,Metrocard - Students,1708927
2021-10,Manhattan,metrocard,Metrocard - Unlimited 30-Day,5913671
2021-10,Manhattan,metrocard,Metrocard - Unlimited 7-Day,5165161
2021-10,Manhattan,omny,OMNY - Full Fare,12282424
2021-10,Manhattan,omny,OMNY - Other,20
2021-10,Manhattan,omny,OMNY - Seniors & Disability,372
2021-10,Queens,metrocard,Metrocard - Fair Fare,315001
2021-10,Queens,metrocard,Metrocard - Full Fare,4202569
2021-10,Queens,metrocard,Metrocard - Other,590831
2021-10,Queens,metrocard,Metrocard - Seniors & Disability,490660
2021-10,Queens,metrocard,Metrocard - Students,969519
2021-10,Queens,metrocard,Metrocard - Unlimited 30-Day,1886686
2021-10,Queens,metrocard,Metrocard - Unlimited 7-Day,2119957
2021-10,Queens,omny,OMNY - Full Fare,2320851
2021-10,Queens,omny,OMNY - Seniors & Disability,36
2021-10,Staten Island,metrocard,Metrocard - Fair Fare,4136
2021-10,Staten Island,metrocard,Metrocard - Full Fare,79650
2021-10,Staten Island,metrocard,Metrocard - Other,14964
2021-10,Staten Island,metrocard,Metrocard - Seniors & Disability,7628
