station_complex_id,year,dow,hora,share,total_anual
1,2020,6,2,0.00014105,2013508
1,2020,6,3,0.00016290,2013508
1,2020,6,4,0.00040427,2013508
1,2020,6,5,0.00160764,2013508
1,2020,6,6,0.00259944,2013508
1,2020,6,7,0.00398459,2013508
1,2020,6,8,0.00533497,2013508
1,2020,6,9,0.00703151,2013508
1,2020,6,10,0.00689841,2013508
1,2020,6,11,0.00721874,2013508
1,2020,6,12,0.00743081,2013508
1,2020,6,13,0.00750183,2013508
1,2020,6,14,0.00755547,2013508
1,2020,6,15,0.00746806,2013508
1,2020,6,16,0.00676680,2013508
1,2020,6,17,0.00637196,2013508
1,2020,6,18,0.00550085,2013508
1,2020,6,19,0.00431237,2013508
1,2020,6,20,0.00321528,2013508
1,2020,6,21,0.00280505,2013508
1,2020,6,22,0.00255127,2013508
1,2020,6,23,0.00184653,2013508
1,2021,0,0,0.00101744,2303818
1,2021,0,1,0.00043493,2303818
1,2021,0,2,0.00017189,2303818
1,2021,0,3,0.00012761,2303818
1,2021,0,4,0.00034551,2303818
1,2021,0,5,0.00067800,2303818
1,2021,0,6,0.00170803,2303818
1,2021,0,7,0.00245245,2303818
1,2021,0,8,0.00360532,2303818
1,2021,0,9,0.00526387,2303818
1,2021,0,10,0.00629954,2303818
1,2021,0,11,0.00638896,2303818
1,2021,0,12,0.00640762,2303818
1,2021,0,13,0.00667370,2303818
1,2021,0,14,0.00656779,2303818
1,2021,0,15,0.00599657,2303818
1,2021,0,16,0.00547613,2303818
1,2021,0,17,0.00496176,2303818
1,2021,0,18,0.00420606,2303818
1,2021,0,19,0.00330148,2303818
1,2021,0,20,0.00278190,2303818
1,2021,0,21,0.00243856,2303818
1,2021,0,22,0.00231702,2303818
1,2021,0,23,0.00107691,2303818
1,2021,1,0,0.00055473,2303818
1,2021,1,1,0.00018665,2303818
1,2021,1,2,0.00010982,2303818
1,2021,1,3,0.00013586,2303818
1,2021,1,4,0.00079867,2303818
1,2021,1,5,0.00379197,2303818
1,2021,1,6,0.00989097,2303818
1,2021,1,7,0.01777137,2303818
1,2021,1,8,0.02067958,2303818
1,2021,1,9,0.01183210,2303818
1,2021,1,10,0.00815169,2303818
1,2021,1,11,0.00672709,2303818
1,2021,1,12,0.00652352,2303818
1,2021,1,13,0.00688726,2303818
1,2021,1,14,0.00871640,2303818
1,2021,1,15,0.00839216,2303818
1,2021,1,16,0.00808571,2303818
1,2021,1,17,0.00902068,2303818
1,2021,1,18,0.00618191,2303818
1,2021,1,19,0.00416873,2303818
1,2021,1,20,0.00320902,2303818
1,2021,1,21,0.00230964,2303818
1,2021,1,22,0.00228447,2303818
1,2021,1,23,0.00099400,2303818
1,2021,2,0,0.00049353,2303818
1,2021,2,1,0.00018317,2303818
1,2021,2,2,0.00009289,2303818
1,2021,2,3,0.00014324,2303818
1,2021,2,4,0.00088158,2303818
1,2021,2,5,0.00408192,2303818
1,2021,2,6,0.01101780,2303818
1,2021,2,7,0.02006669,2303818
1,2021,2,8,0.02390857,2303818
1,2021,2,9,0.01343031,2303818
1,2021,2,10,0.00897901,2303818
1,2021,2,11,0.00728747,2303818
1,2021,2,12,0.00663594,2303818
1,2021,2,13,0.00738470,2303818
1,2021,2,14,0.00940916,2303818
1,2021,2,15,0.00917477,2303818
1,2021,2,16,0.00987274,2303818
1,2021,2,17,0.00931627,2303818
1,2021,2,18,0.00720543,2303818
1,2021,2,19,0.00453334,2303818
1,2021,2,20,0.00338872,2303818
1,2021,2,21,0.00261088,2303818
1,2021,2,22,0.00249890,2303818
1,2021,2,23,0.00119454,2303818
1,2021,3,0,0.00059293,2303818
1,2021,3,1,0.00019663,2303818
1,2021,3,2,0.00009072,2303818
1,2021,3,3,0.00015756,2303818
1,2021,3,4,0.00091283,2303818
1,2021,3,5,0.00412576,2303818
1,2021,3,6,0.01093706,2303818
1,2021,3,7,0.02004412,2303818
1,2021,3,8,0.02449977,2303818
1,2021,3,9,0.01400762,2303818
1,2021,3,10,0.00936315,2303818
1,2021,3,11,0.00749538,2303818
1,2021,3,12,0.00697017,2303818
1,2021,3,13,0.00739338,2303818
1,2021,3,14,0.00975077,2303818
1,2021,3,15,0.00944606,2303818
1,2021,3,16,0.01011538,2303818
1,2021,3,17,0.00940222,2303818
1,2021,3,18,0.00727097,2303818
1,2021,3,19,0.00460019,2303818
1,2021,3,20,0.00340956,2303818
1,2021,3,21,0.00278668,2303818
1,2021,3,22,0.00248935,2303818
1,2021,3,23,0.00122796,2303818
1,2021,4,0,0.00063243,2303818
1,2021,4,1,0.00018361,2303818
1,2021,4,2,0.00009419,2303818
1,2021,4,3,0.00014541,2303818
1,2021,4,4,0.00094018,2303818
1,2021,4,5,0.00405588,2303818
1,2021,4,6,0.01045004,2303818
1,2021,4,7,0.01898023,2303818
1,2021,4,8,0.02304001,2303818
1,2021,4,9,0.01343335,2303818
1,2021,4,10,0.00949901,2303818
1,2021,4,11,0.00741725,2303818
1,2021,4,12,0.00690506,2303818
1,2021,4,13,0.00721194,2303818
1,2021,4,14,0.00954720,2303818
1,2021,4,15,0.00945865,2303818
1,2021,4,16,0.00988924,2303818
1,2021,4,17,0.00952419,2303818
1,2021,4,18,0.00731655,2303818
1,2021,4,19,0.00471218,2303818
1,2021,4,20,0.00355150,2303818
1,2021,4,21,0.00269162,2303818
1,2021,4,22,0.00264778,2303818
1,2021,4,23,0.00131000,2303818
1,2021,5,0,0.00063677,2303818
1,2021,5,1,0.00021269,2303818
1,2021,5,2,0.00011286,2303818
1,2021,5,3,0.00014671,2303818
1,2021,5,4,0.00089807,2303818
1,2021,5,5,0.00393434,2303818
1,2021,5,6,0.00974773,2303818
1,2021,5,7,0.01714675,2303818
1,2021,5,8,0.01944468,2303818
1,2021,5,9,0.01264379,2303818
1,2021,5,10,0.00926549,2303818
1,2021,5,11,0.00754356,2303818
1,2021,5,12,0.00731568,2303818
1,2021,5,13,0.00797546,2303818
1,2021,5,14,0.01046046,2303818
1,2021,5,15,0.01035281,2303818
1,2021,5,16,0.01082507,2303818
1,2021,5,17,0.01013492,2303818
1,2021,5,18,0.00841343,2303818
1,2021,5,19,0.00597747,2303818
1,2021,5,20,0.00450687,2303818
1,2021,5,21,0.00340348,2303818
1,2021,5,22,0.00314738,2303818
1,2021,5,23,0.00197585,2303818
1,2021,6,0,0.00106606,2303818
1,2021,6,1,0.00040802,2303818
1,2021,6,2,0.00018144,2303818
1,2021,6,3,0.00015409,2303818
1,2021,6,4,0.00035419,2303818
1,2021,6,5,0.00130653,2303818
1,2021,6,6,0.00268815,2303818
1,2021,6,7,0.00399901,2303818
1,2021,6,8,0.00565366,2303818
1,2021,6,9,0.00743462,2303818
1,2021,6,10,0.00790297,2303818
1,2021,6,11,0.00817643,2303818
1,2021,6,12,0.00850588,2303818
1,2021,6,13,0.00853974,2303818
1,2021,6,14,0.00876198,2303818
1,2021,6,15,0.00822331,2303818
1,2021,6,16,0.00761779,2303818
1,2021,6,17,0.00709778,2303818
1,2021,6,18,0.00627306,2303818
1,2021,6,19,0.00485368,2303818
1,2021,6,20,0.00381237,2303818
1,2021,6,21,0.00310051,2303818
1,2021,6,22,0.00302715,2303818
1,2021,6,23,0.00182089,2303818
1,2022,0,0,0.00087872,3029411
1,2022,0,1,0.00041757,3029411
1,2022,0,2,0.00023371,3029411
1,2022,0,3,0.00018023,3029411
1,2022,0,4,0.00037400,3029411
1,2022,0,5,0.00070905,3029411
1,2022,0,6,0.00167689,3029411
1,2022,0,7,0.00231959,3029411
1,2022,0,8,0.00357198,3029411
1,2022,0,9,0.00502606,3029411
1,2022,0,10,0.00613222,3029411
1,2022,0,11,0.00634183,3029411
1,2022,0,12,0.00643987,3029411
1,2022,0,13,0.00656431,3029411
1,2022,0,14,0.00618041,3029411
1,2022,0,15,0.00557369,3029411
1,2022,0,16,0.00492076,3029411
1,2022,0,17,0.00465239,3029411
1,2022,0,18,0.00401200,3029411
1,2022,0,19,0.00302072,3029411
1,2022,0,20,0.00244305,3029411
1,2022,0,21,0.00211823,3029411
1,2022,0,22,0.00182940,3029411
1,2022,0,23,0.00089060,3029411
1,2022,1,0,0.00048161,3029411
1,2022,1,1,0.00021027,3029411
1,2022,1,2,0.00014854,3029411
1,2022,1,3,0.00022315,3029411
1,2022,1,4,0.00077144,3029411
1,2022,1,5,0.00338482,3029411
1,2022,1,6,0.00912950,3029411
1,2022,1,7,0.01861583,3029411
1,2022,1,8,0.02276350,3029411
1,2022,1,9,0.01186369,3029411
1,2022,1,10,0.00802895,3029411
1,2022,1,11,0.00641379,3029411
1,2022,1,12,0.00615202,3029411
1,2022,1,13,0.00635305,3029411
1,2022,1,14,0.00861851,3029411
1,2022,1,15,0.00809497,3029411
1,2022,1,16,0.00788239,3029411
1,2022,1,17,0.00874758,3029411
1,2022,1,18,0.00611043,3029411
1,2022,1,19,0.00409651,3029411
1,2022,1,20,0.00289132,3029411
1,2022,1,21,0.00215520,3029411
1,2022,1,22,0.00192414,3029411
1,2022,1,23,0.00087905,3029411
1,2022,2,0,0.00044101,3029411
1,2022,2,1,0.00020235,3029411
1,2022,2,2,0.00014293,3029411
1,2022,2,3,0.00024823,3029411
1,2022,2,4,0.00092328,3029411
1,2022,2,5,0.00377136,3029411
1,2022,2,6,0.01065191,3029411
1,2022,2,7,0.02258855,3029411
1,2022,2,8,0.02978269,3029411
