transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference,year,quarter,month,date,hour,weekday_number,weekday_name_es,is_weekend,transfer_share,quality_negative_ridership,quality_negative_transfers,quality_transfers_gt_ridership,quality_invalid_coordinates
2020-02-15T08:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Fair Fare,5.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Full Fare,164.0,8.0,40.775036,-73.91203,POINT (-73.91203 40.775036),2020,1,2,2020-02-15,8,6,sabado,Y,0.04878,N,N,N,N
2020-02-15T08:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Other,37.0,3.0,40.775036,-73.91203,POINT (-73.91203 40.775036),2020,1,2,2020-02-15,8,6,sabado,Y,0.081081,N,N,N,N
2020-02-15T08:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Seniors & Disability,10.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Students,2.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Unlimited 30-Day,164.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Unlimited 7-Day,102.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Full Fare,21.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Other,1.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
2020-02-15T08:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Seniors & Disability,1.0,1.0,40.7599,-73.98414,POINT (-73.98414 40.7599),2020,1,2,2020-02-15,8,6,sabado,Y,1.0,N,N,N,N
2020-02-15T08:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,15.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599),2020,1,2,2020-02-15,8,6,sabado,Y,0.0,N,N,N,N
