transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2020-05-15T13:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Full Fare,16.0,1.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T13:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Other,6.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T13:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T13:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Students,1.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T13:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Unlimited 30-Day,6.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T13:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Unlimited 7-Day,1.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T14:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Full Fare,33.0,4.0,40.761337,-73.96416,POINT (-73.96416 40.761337)
2020-05-15T14:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Other,4.0,0.0,40.761337,-73.96416,POINT (-73.96416 40.761337)
2020-05-15T14:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Seniors & Disability,10.0,0.0,40.761337,-73.96416,POINT (-73.96416 40.761337)
2020-05-15T14:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Students,1.0,0.0,40.761337,-73.96416,POINT (-73.96416 40.761337)
2020-05-15T14:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 30-Day,5.0,0.0,40.761337,-73.96416,POINT (-73.96416 40.761337)
2020-05-15T14:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 7-Day,1.0,0.0,40.761337,-73.96416,POINT (-73.96416 40.761337)
2020-05-15T14:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Full Fare,35.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T14:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Other,3.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T14:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Seniors & Disability,6.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-05-15T14:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Students,3.0,0.0,40.75734,-73.95412,POINT (-73.95412 40.75734)
2020-08-15T17:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Fair Fare,3.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036)
2020-08-15T17:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Full Fare,102.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036)
2020-08-15T17:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Other,8.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036)
2020-08-15T17:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Seniors & Disability,6.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036)
2020-08-15T17:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Unlimited 30-Day,12.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036)
2020-08-15T17:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,metrocard,Metrocard - Unlimited 7-Day,22.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036)
2020-08-15T17:00:00.000,subway,1,"Astoria-Ditmars Blvd (N,W)",Queens,omny,OMNY - Full Fare,19.0,0.0,40.775036,-73.91203,POINT (-73.91203 40.775036)
2020-08-15T17:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Full Fare,70.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599)
2020-08-15T17:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Other,7.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599)
2020-08-15T17:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Seniors & Disability,5.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599)
2020-08-15T17:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,14.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599)
2020-08-15T17:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,17.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599)
2020-08-15T17:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,omny,OMNY - Full Fare,19.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599)
2020-08-15T17:00:00.000,subway,100,"Hewes St (M,J)",Brooklyn,metrocard,Metrocard - Fair Fare,3.0,0.0,40.70687,-73.95343,POINT (-73.95343 40.70687)
2020-08-15T17:00:00.000,subway,100,"Hewes St (M,J)",Brooklyn,metrocard,Metrocard - Full Fare,19.0,0.0,40.70687,-73.95343,POINT (-73.95343 40.70687)
2020-08-15T17:00:00.000,subway,100,"Hewes St (M,J)",Brooklyn,metrocard,Metrocard - Other,2.0,0.0,40.70687,-73.95343,POINT (-73.95343 40.70687)
2020-08-15T17:00:00.000,subway,100,"Hewes St (M,J)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,5.0,0.0,40.70687,-73.95343,POINT (-73.95343 40.70687)
2020-08-15T17:00:00.000,subway,100,"Hewes St (M,J)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,6.0,0.0,40.70687,-73.95343,POINT (-73.95343 40.70687)
2020-08-15T17:00:00.000,subway,101,"Marcy Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Fair Fare,5.0,0.0,40.70836,-73.957756,POINT (-73.957756 40.70836)
2020-08-15T17:00:00.000,subway,101,"Marcy Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Full Fare,70.0,0.0,40.70836,-73.957756,POINT (-73.957756 40.70836)
2020-08-15T17:00:00.000,subway,101,"Marcy Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Other,7.0,0.0,40.70836,-73.957756,POINT (-73.957756 40.70836)
2020-08-15T17:00:00.000,subway,101,"Marcy Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.70836,-73.957756,POINT (-73.957756 40.70836)
